job_card_date,BAJAJ_AVENGER_STREET_220_AIR_FILTER_Weekly_Count
2017-06-11,1
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,1
2017-07-23,3
2017-07-30,1
2017-08-06,2
2017-08-13,2
2017-08-20,2
2017-08-27,3
2017-09-03,2
2017-09-10,2
2017-09-17,1
2017-09-24,1
2017-10-01,2
2017-10-08,6
2017-10-15,5
2017-10-22,2
2017-10-29,0
2017-11-05,4
2017-11-12,2
2017-11-19,6
2017-11-26,6
2017-12-03,5
2017-12-10,7
2017-12-17,8
2017-12-24,3
2017-12-31,5
2018-01-07,6
2018-01-14,2
2018-01-21,1
2018-01-28,4
2018-02-04,9
2018-02-11,7
2018-02-18,5
2018-02-25,5
2018-03-04,2
2018-03-11,2
2018-03-18,0
2018-03-25,2
2018-04-01,2
2018-04-08,3
2018-04-15,3
2018-04-22,2
2018-04-29,1
2018-05-06,3
2018-05-13,2
2018-05-20,5
2018-05-27,4
2018-06-03,4
2018-06-10,2
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,7
2018-07-22,4
2018-07-29,1
2018-08-05,4
2018-08-12,7
2018-08-19,5
2018-08-26,8
2018-09-02,3
2018-09-09,3
2018-09-16,2
2018-09-23,5
2018-09-30,3
2018-10-07,6
2018-10-14,6
2018-10-21,10
2018-10-28,6
2018-11-04,4
2018-11-11,0
2018-11-18,7
2018-11-25,10
2018-12-02,8
2018-12-09,3
2018-12-16,6
2018-12-23,9
2018-12-30,2
2019-01-06,1
