job_card_date,BAJAJ_AVENGER_STREET_220_DISC_OIL_Weekly_Count
2017-06-04,1
2017-06-11,3
2017-06-18,3
2017-06-25,2
2017-07-02,2
2017-07-09,3
2017-07-16,2
2017-07-23,2
2017-07-30,2
2017-08-06,0
2017-08-13,1
2017-08-20,1
2017-08-27,0
2017-09-03,0
2017-09-10,3
2017-09-17,1
2017-09-24,1
2017-10-01,1
2017-10-08,3
2017-10-15,0
2017-10-22,2
2017-10-29,0
2017-11-05,4
2017-11-12,0
2017-11-19,1
2017-11-26,3
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,1
2017-12-31,1
2018-01-07,0
2018-01-14,3
2018-01-21,0
2018-01-28,0
2018-02-04,1
2018-02-11,3
2018-02-18,2
2018-02-25,1
2018-03-04,1
2018-03-11,3
2018-03-18,0
2018-03-25,5
2018-04-01,2
2018-04-08,4
2018-04-15,1
2018-04-22,5
2018-04-29,1
2018-05-06,5
2018-05-13,0
2018-05-20,1
2018-05-27,2
2018-06-03,1
2018-06-10,2
2018-06-17,3
2018-06-24,2
2018-07-01,3
2018-07-08,0
2018-07-15,1
2018-07-22,1
2018-07-29,2
2018-08-05,2
2018-08-12,1
2018-08-19,2
2018-08-26,4
2018-09-02,3
2018-09-09,3
2018-09-16,1
2018-09-23,4
2018-09-30,2
2018-10-07,5
2018-10-14,4
2018-10-21,7
2018-10-28,1
2018-11-04,3
2018-11-11,0
2018-11-18,4
2018-11-25,7
2018-12-02,7
2018-12-09,2
2018-12-16,3
2018-12-23,9
2018-12-30,2
2019-01-06,1
