job_card_date,BAJAJ_AVENGER_STREET_220_ENGINE_OIL_Weekly_Count
2017-06-04,5
2017-06-11,7
2017-06-18,7
2017-06-25,5
2017-07-02,5
2017-07-09,6
2017-07-16,3
2017-07-23,6
2017-07-30,6
2017-08-06,5
2017-08-13,5
2017-08-20,6
2017-08-27,5
2017-09-03,7
2017-09-10,7
2017-09-17,7
2017-09-24,6
2017-10-01,6
2017-10-08,12
2017-10-15,7
2017-10-22,5
2017-10-29,0
2017-11-05,8
2017-11-12,9
2017-11-19,8
2017-11-26,9
2017-12-03,6
2017-12-10,9
2017-12-17,13
2017-12-24,8
2017-12-31,11
2018-01-07,7
2018-01-14,7
2018-01-21,6
2018-01-28,6
2018-02-04,10
2018-02-11,10
2018-02-18,8
2018-02-25,7
2018-03-04,9
2018-03-11,5
2018-03-18,7
2018-03-25,8
2018-04-01,3
2018-04-08,9
2018-04-15,13
2018-04-22,9
2018-04-29,4
2018-05-06,8
2018-05-13,3
2018-05-20,11
2018-05-27,7
2018-06-03,8
2018-06-10,7
2018-06-17,9
2018-06-24,7
2018-07-01,8
2018-07-08,7
2018-07-15,10
2018-07-22,8
2018-07-29,6
2018-08-05,6
2018-08-12,11
2018-08-19,7
2018-08-26,13
2018-09-02,3
2018-09-09,5
2018-09-16,3
2018-09-23,8
2018-09-30,4
2018-10-07,7
2018-10-14,7
2018-10-21,11
2018-10-28,10
2018-11-04,4
2018-11-11,0
2018-11-18,10
2018-11-25,13
2018-12-02,10
2018-12-09,3
2018-12-16,6
2018-12-23,9
2018-12-30,1
2019-01-06,1
