job_card_date,BAJAJ_PULSAR_150_CONSUMABLES_Weekly_Count
2017-06-04,1
2017-06-11,3
2017-06-18,7
2017-06-25,4
2017-07-02,4
2017-07-09,9
2017-07-16,3
2017-07-23,4
2017-07-30,4
2017-08-06,2
2017-08-13,4
2017-08-20,2
2017-08-27,4
2017-09-03,3
2017-09-10,3
2017-09-17,2
2017-09-24,3
2017-10-01,5
2017-10-08,7
2017-10-15,4
2017-10-22,3
2017-10-29,0
2017-11-05,4
2017-11-12,11
2017-11-19,5
2017-11-26,5
2017-12-03,0
2017-12-10,2
2017-12-17,2
2017-12-24,1
2017-12-31,8
2018-01-07,4
2018-01-14,6
2018-01-21,5
2018-01-28,1
2018-02-04,3
2018-02-11,5
2018-02-18,3
2018-02-25,5
2018-03-04,2
2018-03-11,4
2018-03-18,3
2018-03-25,2
2018-04-01,7
2018-04-08,3
2018-04-15,2
2018-04-22,6
2018-04-29,3
2018-05-06,3
2018-05-13,3
2018-05-20,7
2018-05-27,1
2018-06-03,7
2018-06-10,5
2018-06-17,1
2018-06-24,6
2018-07-01,2
2018-07-08,5
2018-07-15,2
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,4
2018-08-19,6
2018-08-26,4
2018-09-02,2
2018-09-09,3
2018-09-16,8
2018-09-23,7
2018-09-30,6
2018-10-07,7
2018-10-14,8
2018-10-21,6
2018-10-28,4
2018-11-04,11
2018-11-11,4
2018-11-18,12
2018-11-25,7
2018-12-02,7
2018-12-09,9
2018-12-16,7
2018-12-23,5
2018-12-30,13
2019-01-06,8
